Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ryan O'Hearn","PIT",56,238.163,212.09,57.2858,37.1992,9.88535,0.458073,9.7432,30.9302,32.8879,21.5753,0.913566,47.7755,2.28848,1.88647,0.32344,4.85539,1.11436,0.365465,0.270102,0.0905902,0.2006,0.451597,0.341194,0.458848,0.347317,0.800042,0.188746,3.06417,0.303869,,-0.254105,34.2941,5.87355,117.525,-0.254105,-0.1,4.794248551130295,-4.420987702906132,0.822859,285.44000244140625,,,,,,,304.1,5.430357142,304.1,5.430357142,,,,,,,,,,,,,,,,,,,"Ryan O'Hearn","16442",656811
"Ezequiel Tovar","COL",59,258.691,238.975,62.6345,39.4427,13.3248,1.54816,8.31886,32.327,32.9752,13.5242,0.0224156,61.8476,1.53931,2.27623,2.37584,3.5981,3.73504,1.05899,0.262096,0.0522794,0.239079,0.21867,0.303135,0.435242,0.319532,0.738377,0.173146,5.12971,0.317477,,0.0129803,31.4173,0.547147,87.2368,0.0129803,0.94,-3.9805826684460044,3.6714815497398376,0.821472,209.22999572753906,,,,,,,290.9,4.930508474,290.9,4.930508474,,,,,,,,,,,,,,,,,,,"Ezequiel Tovar","24064",678662
"Lars Nootbaar","STL",51,218.754,189.006,46.6807,30.3902,9.37978,0.514706,6.39599,27.3695,25.2115,26.1516,0.84457,43.0211,1.48706,1.53991,0.568936,4.377,2.19632,0.814674,0.24698,0.119548,0.196665,0.607879,0.340626,0.403574,0.329018,0.744199,0.156594,3.6293,0.285446,,-0.208021,28.251,2.14668,109.238,-0.208021,0.99,2.2363395392894745,-1.3711111545562744,0.808662,745.989990234375,,,,,,,244.4,4.792156862,244.4,4.792156862,,,,,,,,,,,,,,,,,,,"Lars Nootbaar","21454",663457
"Garrett Mitchell","MIL",50,213.136,187.05,42.7963,26.7444,8.58082,0.974038,6.49696,27.0308,23.1323,21.9575,0.497971,70.5095,2.10526,0.860516,1.16296,3.50511,5.89514,1.56526,0.228796,0.103021,0.330819,0.311412,0.315413,0.389287,0.311896,0.704699,0.160491,5.72472,0.327304,,0.257562,24.5641,-0.869917,96.3717,0.257562,0.95,-0.6777958869934082,1.7216048836708069,0.808217,691.1699829101562,,,,,,,219.8,4.396,219.8,4.396,,,,,,,,,,,,,,,,,,,"Garrett Mitchell","27555",669003
"Samuel Basallo","BAL",48,200.049,181.549,45.0661,26.8322,8.24485,0.278965,9.71012,25.5561,28.7745,15.6283,0.950897,48.0475,1.22106,1.32948,0.321404,3.71727,0.880176,0.316626,0.248231,0.0781223,0.240178,0.325268,0.31,0.457173,0.330438,0.767173,0.208942,2.83006,0.282575,,-0.186458,26.0659,2.19361,112.141,-0.186458,-0.53,2.6714474856853485,-1.8674485683441162,0.80272,160.94000244140625,,,,,,,240.1,5.002083333,240.1,5.002083333,,,,,,,,,,,,,,,,,,,"Samuel Basallo","28824",694212
"Kyle Higashioka","TEX",33,127.02,115.23,25.6103,15.5892,4.53824,0.207422,5.2755,14.2456,16.204,9.22241,0.0436872,31.5135,0.689814,0.866093,0.430311,1.77274,0.665465,0.202836,0.222254,0.0726061,0.248099,0.292649,0.281907,0.402586,0.298574,0.684493,0.180332,3.20679,0.256407,,-0.0887605,13.266,-1.89158,90.1264,-0.0887605,2.66,-1.5644438415765762,4.951666831970215,0.800801,999,,,,,,,124,3.757575757,124,3.757575757,,,,,,,,,,,,,,,,,,,"Kyle Higashioka","5517",543309
"Nick Gonzales","PIT",54,229.379,208.785,56.7835,39.8853,11.4092,1.43352,4.05546,27.216,24.2513,15.2441,0.194015,43.7423,3.02888,1.80129,0.518898,4.94897,1.98235,0.734432,0.271971,0.0664584,0.190699,0.348499,0.327959,0.39862,0.319919,0.726579,0.12665,4.4487,0.323904,,-0.221748,27.9295,0.557233,99.1439,-0.221748,-0.06,-0.45927587151527405,0.8149999417364597,0.792126,999,,,,,,,240.4,4.451851851,240.4,4.451851851,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Brendan Donovan","SEA",33,142.932,125.602,34.0736,23.372,6.54694,0.177148,3.97753,17.9305,16.4507,13.2331,0.404619,19.9211,2.65576,1.07286,0.36871,3.23694,1.33494,0.456526,0.271283,0.0925828,0.139375,0.664273,0.350457,0.421231,0.340122,0.771689,0.149949,3.39044,0.292832,,-0.132582,19.7469,2.69054,123.966,-0.132582,-0.56,3.898078754544258,-1.3394784927368164,0.774324,268.5799865722656,,,,,,,172.2,5.218181818,172.2,5.218181818,,,,,,,,,,,,,,,,,,,"Brendan Donovan","24679",680977
"Joc Pederson","TEX",43,182.16,156.093,37.7798,21.291,6.26406,0.468213,9.75652,25.2667,26.5322,20.6965,0.713957,40.033,3.28836,1.52751,0.309125,3.12193,1.16751,0.338108,0.242034,0.113617,0.219768,0.516987,0.340104,0.475677,0.353083,0.815781,0.233643,3.65305,0.259882,,-0.147809,27.0824,5.3448,127.719,-0.147809,0,5.793435171246529,-4.645061492919922,0.773065,999,,,,,,,242.1,5.630232558,242.1,5.630232558,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"George Springer","TOR",48,205.629,179.895,45.7674,28.7155,7.34274,0.990434,8.71873,29.3116,25.9341,20.8456,0.251283,39.3404,2.13336,1.41105,0.285073,3.85005,4.08795,0.95355,0.254412,0.101375,0.191317,0.529877,0.336522,0.451637,0.343727,0.788158,0.197225,5.17518,0.278045,,0.143749,29.0104,4.47223,120.456,0.143749,-0.02,5.093021601438522,-4.781904716044664,0.772964,94.37999725341797,,,,,,,262,5.458333333,262,5.458333333,,,,,,,,,,,,,,,,,,,"George Springer","12856",543807
