Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Jurickson Profar,644,81,21,73,103,227,8,0.34,0.54,0.28,0.43,-0.55,0.57,0.13,0.04,1.43
Alec Burleson,625,72,22,81,92,244,5,0.316,0.48,0.3,0.48,-0.49,0.61,0.08,-0.03,1.43
Sal Stewart,625,76,23,83,118,254,8,0.328,0.5,0.32,0.49,-0.63,0.64,0.12,0.0,1.43
Austin Riley,672,89,32,97,173,287,2,0.324,0.59,0.43,0.58,-0.93,0.72,0.04,-0.01,1.42
Michael Harris II,625,79,20,74,124,245,20,0.304,0.53,0.27,0.44,-0.67,0.61,0.3,-0.07,1.42
Matt Chapman,672,90,29,83,167,262,9,0.33,0.6,0.4,0.5,-0.9,0.66,0.14,0.01,1.41
Teoscar Hernández,625,87,29,90,160,271,7,0.316,0.58,0.4,0.54,-0.86,0.68,0.11,-0.03,1.41
Jose Altuve,630,79,21,73,111,235,12,0.32,0.52,0.29,0.43,-0.59,0.59,0.19,-0.02,1.41
Trevor Story,665,86,25,80,178,258,25,0.303,0.57,0.34,0.48,-0.96,0.65,0.39,-0.07,1.4
Otto Lopez,625,74,13,66,99,232,19,0.323,0.49,0.18,0.39,-0.53,0.58,0.29,-0.01,1.4
Xander Bogaerts,625,78,16,68,113,227,17,0.326,0.52,0.22,0.4,-0.6,0.57,0.27,-0.0,1.38
Brice Turang,658,81,12,62,138,221,33,0.323,0.54,0.17,0.37,-0.74,0.55,0.51,-0.01,1.38
Salvador Perez,626,71,31,100,130,263,0,0.3,0.47,0.42,0.6,-0.7,0.66,0.01,-0.08,1.38
Luis García Jr.,625,71,18,76,106,239,15,0.309,0.47,0.25,0.45,-0.57,0.6,0.24,-0.05,1.38
William Contreras,625,75,22,84,124,236,6,0.348,0.5,0.3,0.5,-0.67,0.59,0.09,0.06,1.37
