"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SO","SB","OBP","TB","GP"
"*04eig*","Jose Caballero","NYY","2B,3B,SS,LF,RF","539","FA","29","@SF Wed 8:05PM","54.42","100","287.1","81%","0%","73/326","47","6","36","100","39",".313","110","107"
"*051ia*","Spencer Horwitz","PIT","1B","541","FA","28","","54.29","89","384.3","60%","-1%","109/403","57","11","53","74","0",".366","172","109"
"*04pmn*","Parker Meadows","DET","CF","542","FA","26","","54.27","88","367.3","63%","-1%","103/448","61","13","45","126","12",".315","185","119"
"*05jrh*","Colt Keith","DET","1B,2B,3B","543","FA","24","","54.26","97","318.7","88%","0%","121/467","61","14","55","109","2",".327","191","139"
"*05xty*","Dylan Beavers","BAL","LF,RF","544","FA","24","","54.24","100","280.8","89%","0%","96/395","56","16","42","124","14",".357","165","122"
"*04o78*","Matt Wallner","MIN","RF","547","FA","28","","54.19","97","305.4","69%","0%","86/387","54","23","55","141","5",".334","184","110"
"*05gx4*","Dillon Dingler","DET","C","549","FA","27","","54.1","88","366.4","72%","-1%","112/421","50","15","58","118","0",".333","182","123"
"*06aly*","Carson Benge","NYM","LF,CF,RF","550","FA","23","","54.09","88","394.4","88%","0%","83/381","53","15","47","83","11",".315","143","113"
"*05yby*","Kevin McGonigle","DET","SS","553","FA","21","","53.91","99","304.2","94%","0%","86/318","47","10","47","62","12",".381","144","39"
"*0516n*","Isaac Collins","KC","LF","555","FA","28","","53.83","91","341.1","65%","0%","87/361","52","8","47","86","17",".369","137","122"
"*05135*","Jake Mangum","PIT","LF,CF,RF","557","FA","29","","53.62","86","388.4","53%","-1%","108/412","41","3","39","66","24",".306","143","115"
"*04an8*","Wenceel Perez","DET","CF,RF","560","FA","26","","53.54","85","422.3","48%","-1%","97/411","55","14","43","99","10",".310","171","115"
"*02i11*","Jorge Soler","LAA","RF","564","FA","33","","53.25","87","376.4","49%","-1%","93/408","59","22","54","129","0",".320","180","114"
"*04pmw*","Alek Thomas","ARI","CF","571","FA","25","","52.92","50","473","33%","0%","116/479","58","11","49","109","8",".288","179","128"
"*03rmz*","Keibert Ruiz","WSH","C","573","FA","27","","52.89","52","449.9","40%","-1%","108/430","39","10","49","53","1",".289","158","114"
"*03btu*","Willi Castro","COL","2B,3B,LF,RF","585","FA","28","","52.41","95","335.7","68%","+1%","99/391","62","10","39","107","14",".336","156","114"
"*04ai4*","Nolan Gorman","STL","2B,3B","587","FA","25","","52.35","79","422.6","65%","0%","93/449","59","23","66","174","2",".291","182","125"
"*052ru*","Josh Smith","TEX","1B,3B,SS","591","FA","28","","52.29","91","366.2","72%","0%","108/433","62","10","40","109","10",".335","162","124"
"*01ual*","Paul Goldschmidt","NYY","1B","592","FA","38","@SF Wed 8:05PM","52.28","64","453.8","46%","0%","113/429","59","13","44","112","5",".329","180","113"
"*041sq*","Tommy Edman","LAD","2B,3B,CF","594","FA","30","","52.24","95","316.9","76%","-1%","98/416","54","13","51","86","5",".296","157","108"
"*04emt*","Jake Meyers","HOU","CF","601","FA","29","","51.98","77","433.5","43%","-1%","98/392","54","8","39","86","15",".321","144","116"
"*03avk*","Luis Rengifo","MIL","2B,3B","602","FA","28","","51.95","44","454","36%","+1%","109/410","50","9","40","80","11",".322","156","112"
"*041xv*","Nathaniel Lowe","CIN","1B","605","FA","30","","51.77","65","447.5","40%","-1%","110/471","56","13","65","141","1",".325","173","131"
