Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Jacob Young,600,67,10,50,121,189,21,0.306,0.44,0.14,0.3,-0.65,0.47,0.33,-0.04,0.99
Jake Bauers,600,70,20,72,158,207,12,0.309,0.47,0.27,0.43,-0.85,0.52,0.19,-0.03,0.99
Danny Jansen,600,68,22,71,140,209,4,0.309,0.45,0.3,0.43,-0.75,0.52,0.06,-0.03,0.98
Brandon Marsh,600,74,17,66,163,218,11,0.325,0.49,0.24,0.39,-0.88,0.55,0.18,0.01,0.98
Nick Gonzales,600,67,13,66,124,217,6,0.315,0.45,0.18,0.4,-0.66,0.55,0.09,-0.01,0.98
Austin Hays,600,69,19,72,144,224,6,0.305,0.46,0.26,0.43,-0.77,0.56,0.09,-0.04,0.98
Mark Vientos,600,70,23,76,153,228,3,0.301,0.46,0.32,0.45,-0.82,0.57,0.05,-0.05,0.98
Gavin Sheets,600,65,18,69,120,211,3,0.305,0.43,0.24,0.41,-0.64,0.53,0.05,-0.04,0.98
Tommy Pham,600,70,16,64,135,206,10,0.312,0.46,0.21,0.38,-0.73,0.52,0.15,-0.02,0.98
Lenyn Sosa,600,65,20,72,134,225,5,0.294,0.43,0.27,0.43,-0.72,0.56,0.08,-0.07,0.98
Colson Montgomery,602,71,26,77,169,227,3,0.307,0.47,0.36,0.46,-0.91,0.57,0.05,-0.04,0.97
Jake Meyers,600,69,13,58,128,200,13,0.309,0.46,0.18,0.35,-0.69,0.5,0.2,-0.03,0.97
Casey Schmitt,600,68,20,69,141,219,6,0.3,0.45,0.27,0.41,-0.76,0.55,0.09,-0.06,0.96
Cole Young,600,65,13,61,117,196,10,0.312,0.43,0.18,0.36,-0.63,0.49,0.15,-0.02,0.96
Taylor Walls,600,68,13,57,139,191,20,0.298,0.45,0.18,0.34,-0.74,0.48,0.31,-0.06,0.96
Andrew McCutchen,600,68,18,68,137,206,5,0.316,0.45,0.25,0.4,-0.74,0.52,0.08,-0.01,0.96
Francisco Alvarez,600,70,23,73,151,217,3,0.306,0.46,0.31,0.43,-0.81,0.54,0.05,-0.04,0.95
Kyle Teel,600,70,17,64,146,209,7,0.33,0.47,0.23,0.38,-0.79,0.52,0.1,0.03,0.95
Colton Cowser,600,75,23,72,185,218,12,0.307,0.5,0.32,0.43,-0.99,0.55,0.19,-0.04,0.95
Yoán Moncada,600,69,20,71,151,220,4,0.318,0.46,0.28,0.42,-0.81,0.55,0.06,-0.01,0.95
Joey Ortiz,600,63,9,55,105,190,15,0.294,0.42,0.13,0.33,-0.56,0.48,0.23,-0.07,0.95
Pavin Smith,600,70,18,71,145,209,5,0.319,0.46,0.25,0.42,-0.78,0.52,0.07,-0.0,0.95
Sung-Mun Song,600,65,16,65,128,206,9,0.296,0.43,0.22,0.39,-0.69,0.52,0.14,-0.07,0.95
Paul Goldschmidt,600,67,16,68,136,213,8,0.305,0.45,0.22,0.4,-0.73,0.54,0.12,-0.04,0.95
Dominic Canzone,600,64,19,72,136,212,6,0.298,0.43,0.26,0.43,-0.73,0.53,0.09,-0.06,0.95
Adrian Del Castillo,600,68,19,74,148,218,5,0.307,0.45,0.26,0.44,-0.79,0.55,0.08,-0.04,0.95
Ezequiel Duran,600,68,15,62,139,208,13,0.299,0.45,0.2,0.37,-0.75,0.52,0.2,-0.06,0.94
Brooks Baldwin,600,67,18,66,143,213,10,0.297,0.45,0.25,0.39,-0.77,0.53,0.15,-0.06,0.94
Austin Wells,600,67,22,71,148,214,5,0.294,0.45,0.3,0.42,-0.79,0.54,0.09,-0.07,0.93
Marcelo Mayer,600,67,15,67,146,215,11,0.304,0.44,0.21,0.4,-0.78,0.54,0.17,-0.05,0.93
Jorge Soler,600,68,25,74,159,217,2,0.31,0.45,0.34,0.44,-0.85,0.54,0.03,-0.03,0.93
Mike Tauchman,600,69,15,63,133,199,6,0.326,0.45,0.2,0.37,-0.72,0.5,0.1,0.02,0.93
Heriberto Hernández,600,69,20,71,156,216,6,0.313,0.46,0.27,0.42,-0.84,0.54,0.1,-0.02,0.93
Adam Frazier,600,66,13,60,121,200,9,0.304,0.44,0.18,0.36,-0.65,0.5,0.14,-0.05,0.93
Tyler Locklear,600,70,18,71,155,212,8,0.311,0.46,0.25,0.42,-0.83,0.53,0.13,-0.03,0.93
Gavin Lux,600,69,12,63,131,206,6,0.327,0.46,0.17,0.37,-0.7,0.52,0.1,0.02,0.92
Brooks Lee,602,61,15,65,107,205,4,0.289,0.41,0.2,0.39,-0.57,0.51,0.06,-0.09,0.92
Parker Meadows,600,72,16,57,148,201,16,0.296,0.47,0.21,0.34,-0.79,0.5,0.25,-0.07,0.92
Michael Conforto,600,67,19,69,142,206,4,0.314,0.45,0.26,0.41,-0.76,0.52,0.07,-0.02,0.92
Carson Williams,600,72,20,72,179,220,12,0.299,0.47,0.28,0.43,-0.96,0.55,0.19,-0.06,0.91
Nick Fortes,600,63,16,64,120,201,7,0.295,0.42,0.22,0.38,-0.64,0.5,0.1,-0.07,0.91
JJ Wetherholt,600,64,14,63,120,201,7,0.305,0.42,0.19,0.38,-0.65,0.5,0.11,-0.04,0.91
J.P. Crawford,637,68,12,60,123,196,4,0.332,0.45,0.16,0.36,-0.66,0.49,0.07,0.03,0.9
Bo Naylor,600,68,20,68,149,206,7,0.3,0.45,0.28,0.4,-0.8,0.52,0.11,-0.06,0.9
Jake Cronenworth,630,69,14,61,126,198,5,0.321,0.46,0.19,0.37,-0.68,0.5,0.07,0.0,0.9
Victor Scott II,600,68,8,40,138,169,33,0.285,0.45,0.11,0.24,-0.74,0.43,0.51,-0.1,0.9
Everson Pereira,600,70,19,68,162,214,10,0.302,0.46,0.26,0.4,-0.87,0.54,0.16,-0.05,0.9
Logan O'Hoppe,600,67,24,73,164,222,5,0.294,0.44,0.33,0.44,-0.88,0.56,0.08,-0.07,0.89
Jared Triolo,600,68,11,57,138,193,14,0.317,0.45,0.15,0.34,-0.74,0.49,0.21,-0.01,0.89
Brett Baty,600,68,20,69,149,211,6,0.302,0.45,0.27,0.41,-0.8,0.53,0.09,-0.05,0.89
Enrique Hernández,600,65,18,69,136,208,5,0.296,0.43,0.25,0.41,-0.73,0.52,0.08,-0.07,0.89
Alek Thomas,600,68,14,63,140,208,10,0.296,0.45,0.19,0.38,-0.75,0.52,0.16,-0.07,0.88
Tyler Stephenson,600,68,20,73,162,215,3,0.317,0.45,0.28,0.43,-0.87,0.54,0.05,-0.01,0.87
Cam Smith,600,70,16,63,153,207,9,0.315,0.47,0.22,0.37,-0.82,0.52,0.13,-0.01,0.87
Josh Jung,600,65,19,71,152,221,5,0.295,0.43,0.26,0.42,-0.82,0.56,0.07,-0.07,0.86
Javier Báez,600,65,17,67,144,208,9,0.288,0.43,0.23,0.4,-0.77,0.52,0.14,-0.09,0.86
Graham Pauley,600,63,16,65,136,199,8,0.297,0.42,0.22,0.38,-0.73,0.5,0.13,-0.06,0.86
Dillon Dingler,600,65,18,70,148,217,4,0.3,0.43,0.24,0.41,-0.8,0.54,0.06,-0.05,0.85
Connor Norby,600,66,17,68,162,214,10,0.299,0.44,0.23,0.4,-0.87,0.54,0.16,-0.06,0.85
Thomas Saggese,600,66,15,67,146,213,7,0.303,0.43,0.21,0.4,-0.79,0.53,0.11,-0.05,0.85
Joey Bart,600,68,17,66,152,206,5,0.318,0.45,0.23,0.4,-0.82,0.52,0.07,-0.01,0.84
Garrett Mitchell,600,70,16,60,171,198,17,0.303,0.47,0.21,0.36,-0.92,0.5,0.27,-0.05,0.84
Ke'Bryan Hayes,616,63,10,56,120,194,12,0.293,0.42,0.13,0.33,-0.64,0.49,0.19,-0.07,0.84
C.J. Kayfus,600,68,17,65,156,208,8,0.306,0.45,0.23,0.39,-0.84,0.52,0.12,-0.04,0.84
Max Muncy,600,69,19,66,166,215,9,0.295,0.46,0.26,0.39,-0.89,0.54,0.14,-0.07,0.83
Kyle Isbel,600,67,11,52,122,193,12,0.29,0.44,0.15,0.31,-0.66,0.48,0.19,-0.08,0.83
Carlos Narváez,600,65,18,69,152,204,6,0.303,0.43,0.25,0.41,-0.82,0.51,0.09,-0.05,0.82
Brayan Rocchio,600,63,10,52,121,183,15,0.292,0.42,0.14,0.31,-0.65,0.46,0.23,-0.08,0.82
Jac Caglianone,600,65,17,68,142,203,4,0.293,0.43,0.24,0.4,-0.76,0.51,0.07,-0.07,0.82
George Valera,600,67,18,66,154,202,6,0.304,0.44,0.25,0.39,-0.83,0.51,0.09,-0.04,0.81
Nolan Gorman,600,67,25,78,189,214,5,0.294,0.44,0.34,0.47,-1.02,0.54,0.08,-0.07,0.78
Zach Cole,600,73,20,68,190,211,12,0.295,0.48,0.28,0.4,-1.02,0.53,0.18,-0.07,0.78
Carson Benge,600,65,16,62,152,197,9,0.296,0.43,0.21,0.37,-0.82,0.49,0.14,-0.07,0.77
Pedro Pagés,600,63,17,67,150,206,4,0.294,0.42,0.24,0.4,-0.8,0.52,0.07,-0.07,0.76
Christian Moore,600,68,20,65,179,209,9,0.3,0.45,0.28,0.39,-0.96,0.53,0.14,-0.06,0.76
Blaze Alexander,600,69,15,63,174,202,11,0.305,0.46,0.21,0.37,-0.93,0.51,0.17,-0.04,0.74
Edouard Julien,600,69,15,60,168,196,8,0.323,0.46,0.21,0.36,-0.9,0.49,0.12,0.01,0.74
Ben Williamson,600,64,11,57,140,193,9,0.299,0.42,0.15,0.34,-0.75,0.49,0.14,-0.06,0.74
Denzel Clarke,600,71,17,60,186,206,15,0.291,0.47,0.23,0.36,-1.0,0.52,0.23,-0.08,0.72
Jordan Walker,600,65,14,62,160,200,10,0.294,0.43,0.2,0.37,-0.86,0.5,0.15,-0.07,0.71
Ryan McMahon,600,68,21,68,181,201,5,0.304,0.45,0.29,0.4,-0.97,0.5,0.08,-0.04,0.7
Freddy Fermin,600,60,13,58,125,191,4,0.288,0.4,0.17,0.34,-0.67,0.48,0.07,-0.09,0.7
Gabriel Arias,600,66,16,62,176,203,11,0.287,0.44,0.22,0.37,-0.94,0.51,0.18,-0.09,0.68
Owen Caissie,600,65,16,63,172,202,8,0.305,0.43,0.21,0.38,-0.93,0.51,0.12,-0.04,0.68
Brady House,600,59,14,65,161,205,8,0.28,0.39,0.2,0.39,-0.86,0.51,0.13,-0.11,0.64
Griffin Conine,600,62,17,66,176,198,4,0.292,0.41,0.24,0.4,-0.95,0.5,0.06,-0.08,0.58
Patrick Bailey,600,59,13,56,160,184,3,0.282,0.39,0.17,0.33,-0.86,0.46,0.05,-0.11,0.43
