Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Brayan Rocchio,625,72,14,66,120,211,14,0.312,0.48,0.19,0.39,-0.65,0.53,0.22,-0.04,1.12
Luis Rengifo,625,68,15,68,121,220,13,0.31,0.45,0.21,0.41,-0.65,0.55,0.2,-0.05,1.12
Andrew Vaughn,625,65,22,82,125,237,2,0.309,0.43,0.3,0.49,-0.67,0.6,0.03,-0.05,1.12
Casey Schmitt,625,73,20,75,140,229,7,0.318,0.49,0.27,0.45,-0.75,0.58,0.12,-0.03,1.12
Dominic Smith,625,73,19,73,134,227,8,0.319,0.48,0.26,0.43,-0.72,0.57,0.12,-0.02,1.12
Ryan Jeffers,625,72,19,71,130,224,5,0.33,0.48,0.26,0.42,-0.7,0.56,0.07,0.01,1.11
Colton Cowser,625,77,24,79,184,231,16,0.318,0.51,0.32,0.47,-0.99,0.58,0.24,-0.02,1.11
Carson Kelly,625,73,20,73,132,222,6,0.317,0.48,0.28,0.44,-0.71,0.56,0.09,-0.03,1.11
Ramón Laureano,625,77,23,79,166,238,10,0.312,0.51,0.32,0.47,-0.89,0.6,0.16,-0.04,1.11
Jose Trevino,625,71,18,70,119,227,6,0.307,0.47,0.25,0.42,-0.64,0.57,0.1,-0.06,1.11
Colby Thomas,625,75,21,80,159,236,10,0.313,0.5,0.29,0.48,-0.85,0.59,0.15,-0.04,1.11
Andrés Chaparro,625,72,21,76,143,233,7,0.318,0.48,0.29,0.45,-0.77,0.59,0.1,-0.03,1.11
Otto Kemp,625,76,20,77,154,228,10,0.32,0.5,0.27,0.46,-0.83,0.57,0.15,-0.02,1.11
Mike Trout,625,81,28,81,186,235,4,0.345,0.54,0.38,0.48,-1.0,0.59,0.06,0.05,1.1
Christian Walker,625,74,28,84,162,239,3,0.307,0.49,0.38,0.5,-0.87,0.6,0.05,-0.06,1.1
Jordan Lawlar,625,75,16,69,156,220,19,0.315,0.5,0.22,0.41,-0.84,0.55,0.29,-0.03,1.1
Josh Smith,625,75,14,60,122,209,11,0.33,0.49,0.19,0.36,-0.65,0.52,0.17,0.01,1.1
CJ Kayfus,625,74,20,75,152,232,9,0.323,0.49,0.27,0.44,-0.81,0.58,0.14,-0.01,1.1
Ezequiel Duran,625,72,17,70,143,226,14,0.311,0.48,0.23,0.42,-0.77,0.57,0.21,-0.05,1.1
Everson Pereira,625,77,22,74,160,231,10,0.315,0.51,0.3,0.44,-0.86,0.58,0.16,-0.03,1.1
Cole Young,625,72,15,68,119,209,9,0.322,0.48,0.2,0.41,-0.64,0.52,0.13,-0.01,1.09
Davis Schneider,625,77,22,76,159,222,9,0.326,0.51,0.3,0.45,-0.85,0.56,0.13,-0.0,1.09
Danny Jansen,625,74,23,75,144,223,5,0.316,0.49,0.31,0.45,-0.77,0.56,0.08,-0.03,1.09
