Name,Type,GS,G,IP,IP_wk,L_wk,SV_wk,HLD_wk,K_wk,QS_wk,ER_wk,WH_wk,ERA,WHIP,WAR
Mark Leiter Jr.,RP,,64.4,65.3,2.61,0.128,0.227,0.433,2.77,0,1.211,3.416,4.169,1.307,0.33
Taylor Rogers,RP,,56.9,57.1,2.29,0.088,0.319,0.269,2.35,0,1.005,3.013,3.957,1.318,0.33
Justin Martinez,RP,,25.5,26.9,1.08,0.069,0.132,0.094,1.3,0,0.406,1.444,3.39,1.34,0.33
Tyler Kinley,RP,,59.8,60.9,2.44,0.108,0.079,0.34,2.56,0,1.132,3.107,4.184,1.276,0.33
Dietrich Enns,RP,,48.3,59.7,2.39,0.092,0.018,0.295,2.21,0,1.098,3.149,4.139,1.319,0.33
Hoby Milner,RP,,60.0,61.5,2.46,0.095,0.001,0.453,2.07,0,1.059,3.153,3.875,1.282,0.33
Kohl Drake,SP,6.2,,46.4,6.7,0.404,0,0,6.05,0.423,3.153,8.774,4.235,1.309,0.32
Danny Coulombe,RP,,43.2,42.4,1.7,0.049,0.015,0.194,1.68,0,0.701,2.111,3.718,1.244,0.32
John Schreiber,RP,,63.9,63.4,2.54,0.099,0.012,0.61,2.31,0,1.14,3.316,4.044,1.307,0.32
Juan Mejia,RP,,62.2,65.3,2.61,0.103,0.104,0.462,2.64,0,1.333,3.682,4.595,1.41,0.32
Hunter Gaddis,RP,,62.8,69.0,2.76,0.116,0.192,0.826,2.67,0,1.184,3.306,3.861,1.198,0.32
Joe Jiménez,RP,,38.5,40.0,1.6,0.068,0.001,0.162,1.78,0,0.665,1.905,3.746,1.192,0.32
McCade Brown,SP,15.9,,85.3,6.14,0.404,0,0,5.43,0.366,3.265,8.439,4.788,1.375,0.31
Cristian Mena,RP,,18.7,34.3,1.37,0.061,0.0,0.026,1.28,0,0.623,1.809,4.089,1.319,0.31
Justin Lawrence,RP,,55.5,59.4,2.37,0.095,0.032,0.45,2.29,0,1.056,3.255,4.003,1.371,0.31
Ryan Gusto,SP,5.1,,57.7,7.43,0.433,0,0,6.61,0.395,3.604,9.743,4.363,1.31,0.3
Drew Thorpe,SP,11.8,,63.6,6.2,0.375,0,0,5.27,0.413,3.03,8.143,4.399,1.314,0.3
Alek Manoah,SP,17.6,,97.6,6.22,0.378,0,0,5.47,0.399,3.125,8.549,4.523,1.375,0.3
Tobias Myers,RP,,36.1,56.3,2.25,0.099,0.0,0.082,1.95,0,1.003,2.856,4.009,1.268,0.3
Tony Santillan,RP,,67.0,68.2,2.73,0.141,0.212,0.694,2.86,0,1.258,3.658,4.154,1.342,0.3
Yennier Cano,RP,,50.4,50.2,2.01,0.125,0.057,0.389,1.88,0,0.864,2.633,3.873,1.311,0.3
A.J. Puk,RP,,27.5,29.1,1.17,0.051,0.091,0.122,1.33,0,0.468,1.381,3.613,1.185,0.3
Brenan Hanifee,RP,,51.4,56.7,2.27,0.087,0.001,0.312,1.68,0,0.981,2.943,3.89,1.297,0.3
José Urquidy,SP,15.8,,90.5,6.31,0.351,0,0,5.25,0.349,3.21,8.424,4.578,1.335,0.29
Jason Alexander,SP,7.5,,63.4,7.08,0.397,0,0,6.1,0.44,3.386,9.286,4.302,1.311,0.29
Quinn Mathews,SP,7.7,,42.6,6.28,0.383,0,0,5.62,0.437,2.958,8.453,4.237,1.346,0.29
Jovani Morán,RP,,46.1,48.5,1.94,0.067,0.001,0.188,1.99,0,0.845,2.602,3.922,1.342,0.29
Carlos Estévez,RP,,63.4,65.8,2.63,0.164,1.238,0.086,2.4,0,1.224,3.346,4.184,1.271,0.29
Riley O'Brien,RP,,60.7,63.9,2.55,0.107,0.6,0.546,2.56,0,1.066,3.439,3.755,1.346,0.29
