Week,Team,ERA,H/AB,HLD,HR,IP,K,K.1,L,OBP,QS,R,RBI,SB,SV,TB,WHIP
7,vves11,5.13,59/216,2.0,9.0,54.1,45.0,51.0,6.0,0.332,3.0,28.0,28.0,8.0,2.0,100.0,1.6
7,wes11,1.03,60/203,5.0,8.0,52.1,51.0,49.0,1.0,0.367,5.0,37.0,21.0,5.0,0.0,98.0,0.78
8,Acuña Matata,1.8,54/238,1.0,11.0,45.0,58.0,48.0,2.0,0.285,5.0,35.0,25.0,9.0,2.0,98.0,0.96
8,Beasts of the East,3.69,63/246,1.0,5.0,63.1,56.0,74.0,1.0,0.329,5.0,25.0,27.0,3.0,2.0,93.0,1.28
8,Cleveland Steamers,3.19,48/200,4.0,6.0,42.1,57.0,39.0,4.0,0.314,3.0,30.0,25.0,5.0,3.0,78.0,1.04
8,Colson Anthony Teel Jr.,4.52,47/200,4.0,3.0,65.2,49.0,52.0,5.0,0.3,3.0,20.0,17.0,6.0,2.0,76.0,1.39
8,Derty's Rolling Crew,1.74,64/225,2.0,8.0,41.1,52.0,33.0,3.0,0.331,2.0,33.0,40.0,4.0,4.0,114.0,1.28
8,My Team Snells Like Shit,4.57,49/210,5.0,7.0,63.0,52.0,61.0,3.0,0.305,4.0,21.0,20.0,8.0,3.0,85.0,1.22
8,North Shore Beefs,3.18,76/218,3.0,12.0,34.0,52.0,33.0,3.0,0.438,3.0,38.0,39.0,8.0,3.0,125.0,1.12
8,Put Up or Shut Up,2.1,57/251,1.0,6.0,60.0,63.0,53.0,4.0,0.289,6.0,34.0,31.0,6.0,6.0,95.0,1.12
8,Shmoulie,4.35,58/220,3.0,9.0,51.2,67.0,52.0,2.0,0.355,2.0,37.0,30.0,8.0,3.0,99.0,1.51
8,Skrey's SQUAD,4.58,74/242,2.0,9.0,57.0,46.0,58.0,3.0,0.36,4.0,37.0,28.0,1.0,1.0,115.0,1.4
8,Tardy Plumbers,2.97,55/219,2.0,10.0,57.2,45.0,65.0,0.0,0.295,6.0,34.0,30.0,5.0,0.0,97.0,1.16
8,The Bronx Boofers,3.25,47/201,0.0,8.0,52.2,46.0,57.0,2.0,0.308,5.0,26.0,36.0,1.0,4.0,85.0,1.04
8,The Murk Ma$ter,3.47,65/224,3.0,11.0,70.0,48.0,53.0,7.0,0.348,2.0,34.0,32.0,4.0,4.0,109.0,1.2
8,UNKle Jerik,2.53,53/214,2.0,5.0,46.1,55.0,41.0,2.0,0.336,2.0,25.0,22.0,2.0,3.0,79.0,1.23
8,vves11,2.87,64/223,0.0,6.0,31.1,35.0,26.0,0.0,0.342,3.0,32.0,38.0,7.0,1.0,100.0,1.12
8,wes11,4.25,58/239,4.0,8.0,53.0,51.0,46.0,6.0,0.307,3.0,25.0,35.0,4.0,0.0,96.0,1.36
9,Acuña Matata,3.69,64/220,2.0,17.0,61.0,50.0,59.0,5.0,0.372,6.0,42.0,47.0,5.0,1.0,126.0,1.26
9,Beasts of the East,4.07,72/244,3.0,8.0,66.1,41.0,66.0,5.0,0.337,6.0,34.0,32.0,9.0,4.0,116.0,1.16
9,Cleveland Steamers,1.22,46/174,3.0,6.0,37.0,46.0,37.0,1.0,0.35,4.0,26.0,17.0,11.0,2.0,72.0,0.78
9,Colson Anthony Teel Jr.,2.45,51/204,2.0,7.0,47.2,33.0,53.0,3.0,0.303,3.0,25.0,27.0,2.0,3.0,83.0,1.15
9,Derty's Rolling Crew,2.93,37/190,2.0,5.0,46.0,48.0,37.0,1.0,0.3,4.0,18.0,19.0,4.0,2.0,58.0,1.35
9,My Team Snells Like Shit,2.77,59/216,2.0,15.0,48.2,50.0,49.0,1.0,0.335,4.0,38.0,41.0,8.0,3.0,117.0,1.05
9,North Shore Beefs,5.18,47/199,3.0,5.0,64.1,41.0,45.0,3.0,0.314,3.0,18.0,27.0,5.0,0.0,75.0,1.34
9,Put Up or Shut Up,3.77,59/218,2.0,5.0,57.1,63.0,49.0,4.0,0.336,3.0,28.0,18.0,6.0,5.0,87.0,1.43
9,Shmoulie,3.92,53/229,2.0,7.0,66.2,62.0,63.0,2.0,0.313,3.0,25.0,23.0,3.0,5.0,86.0,1.2
9,Skrey's SQUAD,2.56,60/207,2.0,8.0,56.1,52.0,66.0,5.0,0.339,4.0,30.0,25.0,4.0,3.0,98.0,1.21
9,Tardy Plumbers,3.3,51/212,3.0,6.0,46.1,52.0,49.0,5.0,0.322,2.0,29.0,26.0,3.0,0.0,79.0,1.47
